,canasta_basica
2001-01-01,269.77
2001-02-01,278.02
2001-03-01,284.25
2001-04-01,288.45
2001-05-01,287.77
2001-06-01,288.79
2001-07-01,290.66
2001-08-01,292.97
2001-09-01,299.42
2001-10-01,304.06
2001-11-01,310.21
2001-12-01,313.56
2002-01-01,319.15
2002-02-01,323.18
2002-03-01,327.34
2002-04-01,330.31
2002-05-01,333.32
2002-06-01,334.05
2002-07-01,336.29
2002-08-01,339.91
2002-09-01,341.22
2002-10-01,346.14
2002-11-01,351.47
2002-12-01,353.24
2003-01-01,361.75
2003-02-01,362.0
2003-03-01,363.79
2003-04-01,366.59
2003-05-01,368.72
2003-06-01,369.95
2003-07-01,371.11
2003-08-01,373.8
2003-09-01,376.47
2003-10-01,378.02
2003-11-01,378.29
2003-12-01,378.34
2004-01-01,381.39
2004-02-01,384.03
2004-03-01,385.58
2004-04-01,387.59
2004-05-01,388.38
2004-06-01,387.76
2004-07-01,386.75
2004-08-01,388.57
2004-09-01,388.98
2004-10-01,390.21
2004-11-01,392.26
2004-12-01,394.45
2005-01-01,417.57
2005-02-01,419.51
2005-03-01,421.47
2005-04-01,425.12
2005-05-01,425.38
2005-06-01,425.1
2005-07-01,425.85
2005-08-01,425.1
2005-09-01,426.74
2005-10-01,432.11
2005-11-01,435.77
2005-12-01,437.41
2006-01-01,440.81
2006-02-01,442.17
2006-03-01,446.74
2006-04-01,446.57
2006-05-01,446.8
2006-06-01,444.95
2006-07-01,445.44
2006-08-01,447.49
2006-09-01,450.83
2006-10-01,453.2
2006-11-01,453.31
2006-12-01,453.26
2007-01-01,453.97
2007-02-01,453.75
2007-03-01,454.29
2007-04-01,455.0
2007-05-01,455.29
2007-06-01,457.79
2007-07-01,461.75
2007-08-01,463.0
2007-09-01,464.9
2007-10-01,467.57
2007-11-01,469.57
2007-12-01,472.74
2008-01-01,478.82
2008-02-01,483.1
2008-03-01,488.83
2008-04-01,495.82
2008-05-01,503.05
2008-06-01,506.84
2008-07-01,507.48
2008-08-01,507.84
2008-09-01,509.35
2008-10-01,507.32
2008-11-01,506.79
2008-12-01,508.94
2009-01-01,512.03
2009-02-01,513.27
2009-03-01,519.9
2009-04-01,522.76
2009-05-01,522.75
2009-06-01,522.38
2009-07-01,521.73
2009-08-01,519.3
2009-09-01,521.26
2009-10-01,522.34
2009-11-01,522.59
2009-12-01,528.9
2010-01-01,534.33
2010-02-01,535.48
2010-03-01,535.56
2010-04-01,539.67
2010-05-01,538.89
2010-06-01,538.12
2010-07-01,536.93
2010-08-01,538.73
2010-09-01,539.36
2010-10-01,540.1
2010-11-01,541.82
2010-12-01,544.71
2011-01-01,548.63
2011-02-01,551.24
2011-03-01,551.87
2011-04-01,555.27
2011-05-01,557.44
2011-06-01,556.93
2011-07-01,559.41
2011-08-01,563.75
2011-09-01,567.41
2011-10-01,571.08
2011-11-01,572.35
2011-12-01,578.04
2012-01-01,581.21
2012-02-01,583.27
2012-03-01,587.36
2012-04-01,588.48
2012-05-01,584.71
2012-06-01,586.18
2012-07-01,585.81
2012-08-01,587.86
2012-09-01,594.06
2012-10-01,595.44
2012-11-01,596.42
2012-12-01,595.7
2013-01-01,601.61
2013-02-01,602.07
2013-03-01,604.25
2013-04-01,605.52
2013-05-01,605.92
2013-06-01,606.29
2013-07-01,606.48
2013-08-01,609.57
2013-09-01,612.05
2013-10-01,614.01
2013-11-01,617.54
2013-12-01,620.86
2014-01-01,628.27
2014-02-01,628.22
2014-03-01,632.19
2014-04-01,633.61
2014-05-01,634.27
2014-06-01,634.67
2014-07-01,637.0
2014-08-01,638.06
2014-09-01,641.2
2014-10-01,642.85
2014-11-01,644.74
2014-12-01,646.3
2015-01-01,653.21
2015-02-01,654.48
2015-03-01,657.68
2015-04-01,660.85
2015-05-01,665.09
2015-06-01,666.92
2015-07-01,668.57
2015-08-01,668.95
2015-09-01,670.53
2015-10-01,669.88
2015-11-01,669.96
2015-12-01,673.21
2016-01-01,675.93
2016-02-01,678.61
2016-03-01,680.7
2016-04-01,683.16
2016-05-01,686.74
2016-06-01,688.53
2016-07-01,688.21
2016-08-01,689.1
2016-09-01,691.38
2016-10-01,691.88
2016-11-01,692.56
2016-12-01,700.96
2017-01-01,701.93
2017-02-01,708.52
2017-03-01,709.22
2017-04-01,706.04
2017-05-01,709.18
2017-06-01,707.47
2017-07-01,708.51
2017-08-01,709.25
2017-09-01,708.79
2017-10-01,708.01
2017-11-01,706.31
2017-12-01,708.98
2018-01-01,712.03
2018-02-01,710.46
2018-03-01,711.13
2018-04-01,709.74
2018-05-01,710.07
2018-06-01,708.22
2018-07-01,707.54
2018-08-01,710.76
2018-09-01,712.66
2018-10-01,714.31
2018-11-01,714.67
2018-12-01,715.16
2019-01-01,719.88
2019-02-01,717.79
2019-03-01,713.05
2019-04-01,715.7
2019-05-01,715.61
2019-06-01,715.83
2019-07-01,715.74
2019-08-01,714.47
2019-09-01,713.75
2019-10-01,718.18
2019-11-01,715.1
2019-12-01,715.08
2020-01-01,716.14
2020-02-01,713.0
2020-03-01,713.89
2020-04-01,728.38
2020-05-01,724.41
2020-06-01,719.03
2020-07-01,713.72
2020-08-01,711.33
2020-09-01,711.03
2020-10-01,710.74
2020-11-01,711.12
2020-12-01,710.08
2021-01-01,712.11
2021-02-01,712.07
2021-03-01,711.8
2021-04-01,711.18
2021-05-01,710.95
2021-06-01,709.4
2021-07-01,711.68
2021-08-01,712.67
2021-09-01,712.85
2021-10-01,712.12
2021-11-01,715.31
2021-12-01,719.65
2022-01-01,724.39
2022-02-01,725.16
2022-03-01,725.27
2022-04-01,728.68
2022-05-01,735.15
2022-06-01,751.04
2022-07-01,753.62
2022-08-01,754.17
2022-09-01,756.9
2022-10-01,756.51
2022-11-01,761.14
2022-12-01,763.44
2023-01-01,764.71
2023-02-01,767.11
2023-03-01,766.62
